OpenAlex.title;issn.X1;issn.X2;issn.X3;issn.X4;host_organization_name;country_code;concept;Scopus.title;Print-ISSN;E-ISSN;All Science Journal Classification Codes (ASJC);WoS.title;WoS.ISSN;WoS.eISSN;WoS. Categories;DOAJ.title;DOAJ.Journal ISSN (print version);DOAJ.Journal EISSN (online version)
Advances in Nursing;2356-6795;2314-7725;;;Hindawi Publishing Corporation;EG;C159110408;;;;;;;;;;;
Advances in Nursing & Midwifery;2538-399X;;;;;IR;C159110408;;;;;;;;;;;
Advances in Nursing and Health;2675-1798;;;;State University of Londrina;BR;C159110408;;;;;;;;;;;
Advances in Nursing Science;0161-9268;1550-5014;;;Lippincott Williams & Wilkins;US;C159110408;Advances in Nursing Science;0161-9268;-;"2900;";ADVANCES IN NURSING SCIENCE;0161-9268;1550-5014;Nursing;;;
Advances in Nutrition;2161-8313;2161-8313;2156-5376;;American Society for Nutrition;US;;Advances in Nutrition;2156-5376;-;"2916; 2701; 1106;";;;;;;;
Advances in Palliative Medicine;1898-3863;;;;;PL;C159110408;;;;;;;;;;;
Advances in pharmacology and therapeutics journal;2783-3445;;;;Knowledge E;IR;C159110408;;;;;;;;;;;
Advances in Physiotherapy;2167-9169;2167-9177;;;Informa;US;C159110408;European Journal of Physiotherapy;2167-9169;2167-9177;"3612;";EUROPEAN JOURNAL OF PHYSIOTHERAPY;2167-9169;2167-9177;Rehabilitation;;;
Advances in prevention science;2625-2627;2625-2619;;;Springer International Publishing;US;C159110408;;;;;;;;;;;
Advances in preventive medicine;2090-3499;2090-3480;;;Hindawi Publishing Corporation;GB;C159110408;;;;;;;;;Advances in Preventive Medicine;2090-3480;2090-3499
Advances in preventive medicine and health care;2688-996X;;;;;US;C159110408;;;;;;;;;;;
Advances in Psychiatric Treatment;1355-5146;1472-1481;;;Cambridge University Press;GB;C159110408;;;;;;;;;;;
Advances in Psychiatry;2356-685X;2314-7768;;;Hindawi Publishing Corporation;EG;C159110408;;;;;;;;;;;
Advances in psychiatry and behavioral health;2667-3835;2667-3827;;;Elsevier BV;US;C159110408;;;;;;;;;;;
Advances in public health;2356-6868;2314-7784;;;Hindawi Publishing Corporation;GB;C159110408;Advances in Public Health;2356-6868;2314-7784;"2739; ";ADVANCES IN PUBLIC HEALTH;2356-6868;2314-7784;Public, Environmental & Occupational Health;Advances in Public Health;2356-6868;2314-7784
Advances in public health, community and tropical medicine;2691-8803;;;;;US;C159110408;;;;;;;;;;;
Advances in Renal Replacement Therapy;1528-8455;1073-4449;;;Elsevier BV;US;C159110408;;;;;;;;;;;
Advances in school mental health promotion;1754-730X;2049-8535;;;Taylor & Francis;GB;C159110408;;;;;;;;;;;
Advances in Simulation;2059-0628;;;;Springer Science+Business Media;GB;C159110408;;;;;;;;;Advances in Simulation;;2059-0628
Advances in Skin & Wound Care;1527-7941;1538-8654;1527-7941;;Lippincott Williams & Wilkins;US;;Advances in Skin and Wound Care;1527-7941;1538-8654;"2902; 2708;";ADVANCES IN SKIN & WOUND CARE;1527-7941;1538-8654;Dermatology | Nursing | Surgery;;;
Advancing clinical care : official journal of NOAADN;1042-9565;;;;;US;C159110408;;;;;;;;;;;
Advancing radiologic technology research;2094-9618;;;;;PH;C159110408;;;;;;;;;;;
Adversity and Resilience Science;2662-2416;2662-2424;;;Springer Science+Business Media;CH;C159110408;;;;;;;;;;;
AEM education and training;2472-5390;;;;Wiley;US;C159110408;AEM Education and Training;-;2472-5390;"2907; 3304; 2711;";AEM EDUCATION AND TRAINING;;2472-5390;Emergency Medicine | Education, Scientific Disciplines;;;
Aesthetic Cosmetology and Medicine;2719-3241;;;;;PL;C159110408;;;;;;;;;;;
Africa health;0141-9536;;;;;GB;C159110408;;;;;;;;;;;
Africa journal of nursing and midwifery;2520-5293;1682-5055;;;University of South Africa;ZA;C159110408;Africa Journal of Nursing and Midwifery;1682-5055;-;"2902; 2913;";AFRICAN JOURNAL OF NURSING AND MIDWIFERY;1682-5055;1682-5055;Nursing;;;
African Health Sciences;1729-0503;1680-6905;;;Makerere University;UG;C159110408;African Health Sciences;1680-6905;-;"2700;";AFRICAN HEALTH SCIENCES;1680-6905;1729-0503;Medicine, General & Internal;;;
African journal for physical activity and health sciences;2411-6939;;;;;ZA;C159110408;;;;;;;;;;;
African Journal for Physical, Health Education, Recreation and Dance;1117-4315;;;;African Journals OnLine;NG;C159110408;;;;;;;;;;;
African Journal of AIDS Research;1727-9445;1608-5906;;;Taylor & Francis;ZA;C159110408;African Journal of AIDS Research;1608-5906;1727-9445;"2406; 2725; 2739; 2700;";AJAR-AFRICAN JOURNAL OF AIDS RESEARCH;1608-5906;1727-9445;Public, Environmental & Occupational Health;;;
African Journal of Current Medical Research;2579-0242;;;;;GH;C159110408;;;;;;;;;;;
African Journal of Disability;2226-7220;2223-9170;;;AOSIS;ZA;C159110408;African Journal of Disability;2223-9170;2226-7220;"2742; 3612;";AFRICAN JOURNAL OF DISABILITY;2223-9170;2226-7220;Health Care Sciences & Services;African Journal of Disability;2223-9170;2226-7220
African journal of drug and alcohol studies;1531-4065;;;;African Journals OnLine;NG;C159110408;African Journal of Drug and Alcohol Studies;1531-4065;-;"2738;";;;;;;;
African Journal of Emergency Medicine;2211-4203;2211-419X;;;Elsevier BV;NL;C159110408;African Journal of Emergency Medicine;2211-419X;-;"2711; 1906; 2909;";AFRICAN JOURNAL OF EMERGENCY MEDICINE;2211-419X;2211-4203;Emergency Medicine;African Journal of Emergency Medicine;;2211-419X
African Journal of Health Professions Education;2078-5127;;;;Health and Medical Publishing Group;ZA;C159110408;;;;;AFRICAN JOURNAL OF HEALTH PROFESSIONS EDUCATION;2078-5127;2078-5127;Health Care Sciences & Services;African Journal of Health Professions Education;;2078-5127
African Journal of Health Sciences;1022-9272;2306-1987;;;African Journals OnLine;KE;C159110408;;;;;;;;;;;
African journal of health, nursing and midwifery;2689-9418;;;;;US;C159110408;;;;;;;;;;;
African Journal of Laboratory Medicine;2225-2010;2225-2002;;;AOSIS;ZA;C159110408;African Journal of Laboratory Medicine;2225-2002;2225-2010;"1308; 3607; 2739;";AFRICAN JOURNAL OF LABORATORY MEDICINE;2225-2002;2225-2010;Medicine, Research & Experimental;African Journal of Laboratory Medicine;2225-2002;2225-2010
African journal of midwifery and women's health;2052-4293;1759-7374;;;MA Healthcare;GB;C159110408;;;;;;;;;;;
African journal of pharmaceutical sciences;2789-5092;;;;;ZA;C159110408;;;;;;;;;;;
African Journal of Physiotherapy and Rehabilitation Sciences;2141-8322;;;;African Journals OnLine;NG;C159110408;;;;;;;;;;;
African Journal of Primary Health Care & Family Medicine;2071-2936;2071-2928;;;AOSIS;ZA;C159110408;African Journal of Primary Health Care and Family Medicine;2071-2928;2071-2936;"2714; 2739; 2700;";AFRICAN JOURNAL OF PRIMARY HEALTH CARE & FAMILY MEDICINE;2071-2928;2071-2936;Primary Health Care;African Journal of Primary Health Care & Family Medicine;2071-2928;2071-2936
African journal of psychiatry;1994-8220;;;;OMICS Publishing Group;ZA;C159110408;;;;;;;;;;;
African journal of psychological assessment;2707-1618;2617-2798;;;AOSIS;ZA;C159110408;;;;;;;;;African Journal of Psychological Assessment;2707-1618;2617-2798
African Journal of Reproductive Health;1118-4841;;;;African Journals OnLine;NG;C159110408;African Journal of Reproductive Health;1118-4841;-;"2739; 2729; 2743;";AFRICAN JOURNAL OF REPRODUCTIVE HEALTH;1118-4841;2141-3606;Public, Environmental & Occupational Health;;;
African Safety Promotion;1728-774X;;;;African Journals OnLine;ZA;C159110408;;;;;AFRICAN SAFETY PROMOTION;1728-774X;1728-774X;Social Issues;;;
Afrimedic Journal;2141-162X;;;;African Journals OnLine;NG;C159110408;;;;;;;;;;;
Age and Ageing;1468-2834;0002-0729;;;Oxford University Press;GB;C159110408;Age and Ageing;0002-0729;1468-2834;"2717; 1302; 2700;";AGE AND AGEING;0002-0729;1468-2834;Geriatrics & Gerontology;;;
Ageing horizons;1746-1081;1746-1073;;;De Gruyter;GB;C159110408;;;;;;;;;;;
Aging & Mental Health;1360-7863;1364-6915;;;Routledge;GB;C159110408;Aging and Mental Health;1360-7863;1364-6915;"2738; 2717; 2909; 2921;";AGING & MENTAL HEALTH;1360-7863;1364-6915;Geriatrics & Gerontology | Psychiatry;;;
Aging and health research;2667-0321;;;;Elsevier BV;NL;C159110408;;;;;;;;;Aging and Health Research;;2667-0321
AIDS;1350-2840;;;;;GB;C159110408;;;;;;;;;;;
AIDS analysis Africa;1016-8974;;;;;ZA;C159110408;;;;;;;;;;;
Aids and Behavior;1090-7165;1573-3254;;;Springer Science+Business Media;NL;C159110408;AIDS and Behavior;1090-7165;1573-3254;"2725; 2739; 3207;";AIDS AND BEHAVIOR;1090-7165;1573-3254;Public, Environmental & Occupational Health | Social Sciences, Biomedical;;;
Aids Care-psychological and Socio-medical Aspects of Aids/hiv;1360-0451;0954-0121;;;Taylor & Francis;GB;C159110408;AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV;0954-0121;1360-0451;"2739; 3207; 3306;";AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV;0954-0121;1360-0451;Health Policy & Services | Public, Environmental & Occupational Health | Psychology, Multidisciplinary | Social Sciences, Biomedical;;;
Aids Education and Prevention;1943-2755;0899-9546;;;Guilford Press;US;C159110408;AIDS Education and Prevention;0899-9546;-;"2725; 2739; 3306;";AIDS EDUCATION AND PREVENTION;0899-9546;1943-2755;Education & Educational Research | Public, Environmental & Occupational Health;;;
Aids Patient Care and Stds;1087-2914;1557-7449;;;Mary Ann Liebert, Inc.;US;C159110408;AIDS Patient Care and STDs;1087-2914;-;"2725; 2739;";AIDS PATIENT CARE AND STDS;1087-2914;1557-7449;Infectious Diseases;;;
AIDS prevention and mental health;1566-0761;;;;Springer Nature;US;C159110408;;;;;;;;;;;
Aids Research and Treatment;2090-1240;2090-1259;;;Hindawi Publishing Corporation;GB;C159110408;AIDS Research and Treatment;2090-1240;2090-1259;"2725; 2739; 2708; 2723;";AIDS RESEARCH AND TREATMENT;2090-1240;2090-1259;Infectious Diseases;AIDS Research and Treatment;2090-1240;2090-1259
AIMS public health;2373-2415;2327-8994;;;AIMS Press;US;C159110408;AIMS Public Health;-;2327-8994;"2739; 2718; ";AIMS PUBLIC HEALTH;2327-8994;2327-8994;Health Care Sciences & Services;AIMS Public Health;;2327-8994
Air Medical Journal;1067-991X;1067-991X;1532-6497;;Elsevier BV;US;;Air Medical Journal;1067-991X;1532-6497;"2907; 2711;";;;;;;;
AJGP;2208-794X;2208-7958;;;Royal Australian College of General Practitioners;AU;C159110408;Australian Journal of General Practice;2208-794X;2208-7958;"2714;";AUSTRALIAN JOURNAL OF GENERAL PRACTICE;2208-794X;2208-7958;Medicine, General & Internal;;;
AJOB empirical bioethics;2329-4523;2329-4515;;;Taylor & Francis;US;C159110408;AJOB Empirical Bioethics;2329-4515;2329-4523;"2719; 1211; 3306;";;;;;;;
AJPM focus;2773-0654;;;;Elsevier BV;US;C159110408;;;;;;;;;AJPM Focus;;2773-0654
Aktualna nefrologiâ;1312-0190;2738-7216;;;;BG;C159110408;;;;;;;;;;;
Aktuelle Ernährungsmedizin;0341-0501;1438-9916;0341-0501;;Thieme Medical Publishers (Germany);DE;;Aktuelle Ernahrungsmedizin Klinik und Praxis;0341-0501;1438-9916;"2916; 2701;";AKTUELLE ERNAHRUNGSMEDIZIN;0341-0501;1438-9916;Nutrition & Dietetics;;;
Alcohol research;2169-4796;2168-3492;;;National Institute on Alcohol Abuse and Alcoholism;US;C159110408;Alcohol research : current reviews;2168-3492;2169-4796;"2738; 3203; 2701;";;;;;;;
Alexandria Journal of Medicine;1110-0834;2090-2948;;;African Journals OnLine;EG;C159110408;;;;;;;;;;;
Alexandria Scientific nursing journal;1687-3858;;;;;EG;C159110408;;;;;;;;;;;
Aligning perspectives on health, safety and well-being;2213-0470;2213-0497;;;Springer International Publishing;NL;C159110408;;;;;;;;;;;
Aloha International Journal of Health Advancement;2621-8224;;;;Forum Ilmiah Kesehatan (Forikes);ID;C159110408;;;;;;;;;;;
Al-Sihah;2086-2040;2548-5334;;;Alauddin Islamic State University;ID;C159110408;;;;;;;;;Al-Sihah: The Public Health Science Journal;2086-2040;2548-5334
Alternative Therapies in Health and Medicine;1078-6791;;;;InnoVision Communications;US;C159110408;Alternative Therapies in Health and Medicine;1078-6791;-;"2707; 2700;";ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE;1078-6791;1078-6791;Integrative & Complementary Medicine;;;
Alzheimer Disease & Associated Disorders;0893-0341;1546-4156;0893-0341;;Lippincott Williams & Wilkins;US;;Alzheimer Disease and Associated Disorders;0893-0341;1546-4156;"2738; 2717; 2909; 3203;";ALZHEIMER DISEASE & ASSOCIATED DISORDERS;0893-0341;0893-0341;Clinical Neurology | Pathology;;;
Alzheimer's care quarterly;1550-3240;1525-3279;;;;US;C159110408;;;;;;;;;;;
Alzheimer's care today;1936-6760;1936-3001;;;Lippincott Williams & Wilkins;US;C159110408;;;;;;;;;;;
AMA journal of ethics;2376-6980;;;;American Medical Association;US;C159110408;AMA Journal of Ethics;2376-6980;-;"3306; 2719; 2910;";;;;;;;
Amadeus International Multidisciplinary Journal;2525-8281;;;;;BR;C159110408;;;;;;;;;;;
Ambulatory Child Health;1355-5626;1467-0658;;;Wiley;GB;C159110408;;;;;;;;;;;
Ambulatory Pediatrics;1539-4409;1530-1567;;;Elsevier BV;US;C159110408;;;;;;;;;;;
Ambulatory Surgery;0966-6532;0966-6532;1873-2097;;Elsevier BV;NL;;Ambulatory Surgery;0966-6532;-;"2703; 2914; 2746;";;;;;;;
American Dental Hygienists Association;1553-0205;;;;;US;C159110408;;;;;;;;;;;
American health & drug benefits;1942-2962;;;;;US;C159110408;American Health and Drug Benefits;1942-2962;-;"1408; 2719;";AMERICAN HEALTH AND DRUG BENEFITS;1942-2962;1942-2970;Health Care Sciences & Services;;;
American Indian and Alaska Native Mental Health Research;0893-5394;;;;;US;C159110408;American Indian and Alaska Native Mental Health Research;0893-5394;-;"2738; 3200; 1202; 3314; 3304;";;;;;;;
American journal of Alzheimer's care and related disorders & research;0895-5336;;;;SAGE Publishing;US;C159110408;;;;;;;;;;;
American journal of Alzheimer's disease;1082-5207;;;;SAGE Publishing;US;C159110408;;;;;;;;;;;
American Journal of Alzheimers Disease and Other Dementias;1533-3175;1938-2731;;;SAGE Publishing;GB;C159110408;American Journal of Alzheimer's Disease and other Dementias;1533-3175;-;"2738; 2717; 3203; 2800;";AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS;1533-3175;1938-2731;Geriatrics & Gerontology | Clinical Neurology;American Journal of Alzheimer's Disease and Other Dementias;1533-3175;1938-2731
American Journal of Bioethics;1526-5161;1526-5161;1536-0075;;Taylor & Francis;US;;American Journal of Bioethics;1526-5161;1536-0075;"2719; 2910;";AMERICAN JOURNAL OF BIOETHICS;1526-5161;1536-0075;Medical Ethics;;;
American journal of cancer;0099-7374;;;;American Association for Cancer Research;US;C159110408;;;;;;;;;;;
American journal of cardiology research and reviews;2637-4935;;;;;US;C159110408;;;;;;;;;;;
American Journal of Cardiovascular Drugs;1175-3277;1179-187X;;;Springer Science+Business Media;CH;C159110408;American Journal of Cardiovascular Drugs;1175-3277;-;"2736; 2705; 2700;";AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS;1175-3277;1179-187X;Cardiac & Cardiovascular System | Pharmacology & Pharmacy;;;
American Journal of Clinical Dermatology;1179-1888;1175-0561;;;Adis, Springer Healthcare;CH;C159110408;American Journal of Clinical Dermatology;1175-0561;-;"2708; 2700;";AMERICAN JOURNAL OF CLINICAL DERMATOLOGY;1175-0561;1179-1888;Dermatology;;;
American journal of clinical research and reviews;2576-0505;;;;;US;C159110408;;;;;;;;;;;
